Date,Entry,Item,Amount,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
"January 9, 2019",Lunch,Thompson Raisins - Raisin,0.75 c,300,75g,0g,3g,0mg,30mg,69g,6g
"January 9, 2019",Lunch,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 9, 2019",Lunch,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 9, 2019",Lunch,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 9, 2019",Lunch,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 9, 2019",Lunch,Dole - Pineapple Slice,2 slices,60,15g,0g,1g,0mg,10mg,14g,1g
"January 9, 2019",Lunch,"Kale, raw, 2 cup",chopped,66,12g,1g,6g,0mg,51mg,3g,5g
"January 9, 2019",Dinner,"Produce - Broccholi, Chopped, Boiled",0.5 cup (78g),27,6g,0g,2g,--mg,32mg,1g,3g
"January 9, 2019",Dinner,Mezzetta - Roasted Garlic & Carmelized Onion Sauce,1 cup,200,22g,10g,4g,0mg,"1,020mg",12g,6g
"January 9, 2019",Dinner,Thrive - Sausage Crumbles,0.25 cup,135,1g,12g,8g,28mg,280mg,0g,0g
"January 9, 2019",Dinner,Organics roasted cashews - Cashews,3 oz,480,27g,39g,12g,0mg,285mg,3g,3g
"January 9, 2019",Dinner,Thompson Raisins - Raisin,0.75 c,300,75g,0g,3g,0mg,30mg,69g,6g
"January 9, 2019",Dinner,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 9, 2019",Dinner,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 9, 2019",Dinner,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 9, 2019",Dinner,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 9, 2019",Dinner,Dole - Pineapple Slice,2 slices,60,15g,0g,1g,0mg,10mg,14g,1g
"January 9, 2019",Dinner,"Kale, raw, 2 cup",chopped,66,12g,1g,6g,0mg,51mg,3g,5g
"January 10, 2019",Breakfast,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 10, 2019",Breakfast,Organics roasted cashews - Cashews,1 oz,160,9g,13g,4g,0mg,95mg,1g,1g
"January 10, 2019",Breakfast,Generic - Bulk Almond Slices,0.13 c,85,3g,8g,3g,0mg,0mg,1g,2g
"January 10, 2019",Breakfast,Lettuce - Lettuce,2 cup shredded,10,2g,0g,1g,0mg,20mg,1g,1g
"January 10, 2019",Breakfast,Thrive - Chicken Salad,0.5 cup,110,4g,1g,19g,40mg,45mg,0g,1g
"January 10, 2019",Breakfast,"Kale, raw, 2 cup",chopped,66,12g,1g,6g,0mg,51mg,3g,5g
"January 10, 2019",Breakfast,Dole - Pineapple Slice,2 slices,60,15g,0g,1g,0mg,10mg,14g,1g
"January 10, 2019",Breakfast,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 10, 2019",Breakfast,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 10, 2019",Breakfast,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 10, 2019",Breakfast,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 10, 2019",Breakfast,Thompson Raisins - Raisin,0.75 c,300,75g,0g,3g,0mg,30mg,69g,6g
"January 10, 2019",Breakfast,Organics roasted cashews - Cashews,2 oz,320,18g,26g,8g,0mg,190mg,2g,2g
"January 10, 2019",Lunch,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 10, 2019",Lunch,Organics roasted cashews - Cashews,1 oz,160,9g,13g,4g,0mg,95mg,1g,1g
"January 10, 2019",Lunch,Generic - Bulk Almond Slices,0.13 c,85,3g,8g,3g,0mg,0mg,1g,2g
"January 10, 2019",Lunch,Lettuce - Lettuce,2 cup shredded,10,2g,0g,1g,0mg,20mg,1g,1g
"January 10, 2019",Lunch,Thrive - Chicken Salad,0.5 cup,110,4g,1g,19g,40mg,45mg,0g,1g
"January 10, 2019",Lunch,"Kale, raw, 2 cup",chopped,66,12g,1g,6g,0mg,51mg,3g,5g
"January 10, 2019",Lunch,Dole - Pineapple Slice,2 slices,60,15g,0g,1g,0mg,10mg,14g,1g
"January 10, 2019",Lunch,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 10, 2019",Lunch,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 10, 2019",Lunch,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 10, 2019",Lunch,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 10, 2019",Lunch,Thompson Raisins - Raisin,0.75 c,300,75g,0g,3g,0mg,30mg,69g,6g
"January 10, 2019",Lunch,Organics roasted cashews - Cashews,2 oz,320,18g,26g,8g,0mg,190mg,2g,2g
"January 10, 2019",Dinner,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 10, 2019",Dinner,Organics roasted cashews - Cashews,1 oz,160,9g,13g,4g,0mg,95mg,1g,1g
"January 10, 2019",Dinner,Generic - Bulk Almond Slices,0.13 c,85,3g,8g,3g,0mg,0mg,1g,2g
"January 10, 2019",Dinner,Lettuce - Lettuce,2 cup shredded,10,2g,0g,1g,0mg,20mg,1g,1g
"January 10, 2019",Dinner,Thrive - Chicken Salad,0.5 cup,110,4g,1g,19g,40mg,45mg,0g,1g
"January 10, 2019",Dinner,"Kale, raw, 2 cup",chopped,66,12g,1g,6g,0mg,51mg,3g,5g
"January 10, 2019",Dinner,Dole - Pineapple Slice,2 slices,60,15g,0g,1g,0mg,10mg,14g,1g
"January 10, 2019",Dinner,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 10, 2019",Dinner,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 10, 2019",Dinner,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 10, 2019",Dinner,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 10, 2019",Dinner,Thompson Raisins - Raisin,0.75 c,300,75g,0g,3g,0mg,30mg,69g,6g
"January 10, 2019",Dinner,Organics roasted cashews - Cashews,2 oz,320,18g,26g,8g,0mg,190mg,2g,2g
"January 10, 2019",Snacks,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 10, 2019",Snacks,Organics roasted cashews - Cashews,1 oz,160,9g,13g,4g,0mg,95mg,1g,1g
"January 10, 2019",Snacks,Generic - Bulk Almond Slices,0.13 c,85,3g,8g,3g,0mg,0mg,1g,2g
"January 10, 2019",Snacks,Lettuce - Lettuce,2 cup shredded,10,2g,0g,1g,0mg,20mg,1g,1g
"January 10, 2019",Snacks,Thrive - Chicken Salad,0.5 cup,110,4g,1g,19g,40mg,45mg,0g,1g
"January 10, 2019",Snacks,"Kale, raw, 2 cup",chopped,66,12g,1g,6g,0mg,51mg,3g,5g
"January 10, 2019",Snacks,Dole - Pineapple Slice,2 slices,60,15g,0g,1g,0mg,10mg,14g,1g
"January 10, 2019",Snacks,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 10, 2019",Snacks,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 10, 2019",Snacks,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 10, 2019",Snacks,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 10, 2019",Snacks,Thompson Raisins - Raisin,0.75 c,300,75g,0g,3g,0mg,30mg,69g,6g
"January 10, 2019",Snacks,Organics roasted cashews - Cashews,2 oz,320,18g,26g,8g,0mg,190mg,2g,2g
"January 11, 2019",Breakfast,Baked Cod - Baked Cod,4.8 oz,166,1g,5g,28g,59mg,552mg,0g,0g
"January 11, 2019",Breakfast,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 11, 2019",Breakfast,Organics roasted cashews - Cashews,2 oz,320,18g,26g,8g,0mg,190mg,2g,2g
"January 11, 2019",Breakfast,Thompson Raisins - Raisin,0.75 c,300,75g,0g,3g,0mg,30mg,69g,6g
"January 11, 2019",Breakfast,Best Foods - Olive Oil Mayo,2 tbsp,120,1g,12g,0g,10mg,240mg,0g,0g
"January 11, 2019",Breakfast,Thrive - Chicken Salad,0.5 cup,110,4g,1g,19g,40mg,45mg,0g,1g
"January 11, 2019",Breakfast,Lettuce - Lettuce,2 cup shredded,10,2g,0g,1g,0mg,20mg,1g,1g
"January 11, 2019",Breakfast,Generic - Bulk Almond Slices,0.13 c,85,3g,8g,3g,0mg,0mg,1g,2g
"January 11, 2019",Breakfast,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 11, 2019",Breakfast,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 11, 2019",Breakfast,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 11, 2019",Breakfast,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 11, 2019",Breakfast,Dole - Pineapple Slice,1 slices,30,8g,0g,1g,0mg,5mg,7g,1g
"January 11, 2019",Breakfast,"Kale, raw, 2 cup",chopped,66,12g,1g,6g,0mg,51mg,3g,5g
"January 11, 2019",Breakfast,TreeTop - Applesauce no sugar added,1 cup,50,12g,0g,0g,0mg,0mg,11g,2g
"January 11, 2019",Lunch,Baked Cod - Baked Cod,4.8 oz,166,1g,5g,28g,59mg,552mg,0g,0g
"January 11, 2019",Lunch,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 11, 2019",Lunch,Organics roasted cashews - Cashews,2 oz,320,18g,26g,8g,0mg,190mg,2g,2g
"January 11, 2019",Lunch,Thompson Raisins - Raisin,0.75 c,300,75g,0g,3g,0mg,30mg,69g,6g
"January 11, 2019",Lunch,Best Foods - Olive Oil Mayo,2 tbsp,120,1g,12g,0g,10mg,240mg,0g,0g
"January 11, 2019",Lunch,Thrive - Chicken Salad,0.5 cup,110,4g,1g,19g,40mg,45mg,0g,1g
"January 11, 2019",Lunch,Lettuce - Lettuce,2 cup shredded,10,2g,0g,1g,0mg,20mg,1g,1g
"January 11, 2019",Lunch,Generic - Bulk Almond Slices,0.13 c,85,3g,8g,3g,0mg,0mg,1g,2g
"January 11, 2019",Lunch,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 11, 2019",Lunch,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 11, 2019",Lunch,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 11, 2019",Lunch,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 11, 2019",Lunch,Dole - Pineapple Slice,1 slices,30,8g,0g,1g,0mg,5mg,7g,1g
"January 11, 2019",Lunch,"Kale, raw, 2 cup",chopped,66,12g,1g,6g,0mg,51mg,3g,5g
"January 11, 2019",Lunch,TreeTop - Applesauce no sugar added,1 cup,50,12g,0g,0g,0mg,0mg,11g,2g
"January 11, 2019",Dinner,Baked Cod - Baked Cod,4.8 oz,166,1g,5g,28g,59mg,552mg,0g,0g
"January 11, 2019",Dinner,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 11, 2019",Dinner,Organics roasted cashews - Cashews,2 oz,320,18g,26g,8g,0mg,190mg,2g,2g
"January 11, 2019",Dinner,Thompson Raisins - Raisin,0.75 c,300,75g,0g,3g,0mg,30mg,69g,6g
"January 11, 2019",Dinner,Best Foods - Olive Oil Mayo,2 tbsp,120,1g,12g,0g,10mg,240mg,0g,0g
"January 11, 2019",Dinner,Thrive - Chicken Salad,0.5 cup,110,4g,1g,19g,40mg,45mg,0g,1g
"January 11, 2019",Dinner,Lettuce - Lettuce,2 cup shredded,10,2g,0g,1g,0mg,20mg,1g,1g
"January 11, 2019",Dinner,Generic - Bulk Almond Slices,0.13 c,85,3g,8g,3g,0mg,0mg,1g,2g
"January 11, 2019",Dinner,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 11, 2019",Dinner,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 11, 2019",Dinner,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 11, 2019",Dinner,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 11, 2019",Dinner,Dole - Pineapple Slice,1 slices,30,8g,0g,1g,0mg,5mg,7g,1g
"January 11, 2019",Dinner,"Kale, raw, 2 cup",chopped,66,12g,1g,6g,0mg,51mg,3g,5g
"January 11, 2019",Dinner,TreeTop - Applesauce no sugar added,1 cup,50,12g,0g,0g,0mg,0mg,11g,2g
"January 11, 2019",Snacks,Baked Cod - Baked Cod,4.8 oz,166,1g,5g,28g,59mg,552mg,0g,0g
"January 11, 2019",Snacks,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 11, 2019",Snacks,Organics roasted cashews - Cashews,2 oz,320,18g,26g,8g,0mg,190mg,2g,2g
"January 11, 2019",Snacks,Thompson Raisins - Raisin,0.75 c,300,75g,0g,3g,0mg,30mg,69g,6g
"January 11, 2019",Snacks,Best Foods - Olive Oil Mayo,2 tbsp,120,1g,12g,0g,10mg,240mg,0g,0g
"January 11, 2019",Snacks,Thrive - Chicken Salad,0.5 cup,110,4g,1g,19g,40mg,45mg,0g,1g
"January 11, 2019",Snacks,Lettuce - Lettuce,2 cup shredded,10,2g,0g,1g,0mg,20mg,1g,1g
"January 11, 2019",Snacks,Generic - Bulk Almond Slices,0.13 c,85,3g,8g,3g,0mg,0mg,1g,2g
"January 11, 2019",Snacks,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 11, 2019",Snacks,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 11, 2019",Snacks,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 11, 2019",Snacks,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 11, 2019",Snacks,Dole - Pineapple Slice,1 slices,30,8g,0g,1g,0mg,5mg,7g,1g
"January 11, 2019",Snacks,"Kale, raw, 2 cup",chopped,66,12g,1g,6g,0mg,51mg,3g,5g
"January 11, 2019",Snacks,TreeTop - Applesauce no sugar added,1 cup,50,12g,0g,0g,0mg,0mg,11g,2g
"January 12, 2019",Breakfast,Frozen - Shrimp,3 oz,100,0g,2g,21g,170mg,468mg,0g,0g
"January 12, 2019",Breakfast,Thompson Raisins - Raisin,0.75 c,300,75g,0g,3g,0mg,30mg,69g,6g
"January 12, 2019",Breakfast,Organics roasted cashews - Cashews,2 oz,320,18g,26g,8g,0mg,190mg,2g,2g
"January 12, 2019",Breakfast,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 12, 2019",Breakfast,"Kale, raw, 2 cup",chopped,66,12g,1g,6g,0mg,51mg,3g,5g
"January 12, 2019",Breakfast,Dole - Pineapple Slice,1 slices,30,8g,0g,1g,0mg,5mg,7g,1g
"January 12, 2019",Breakfast,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 12, 2019",Breakfast,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 12, 2019",Breakfast,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 12, 2019",Breakfast,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 12, 2019",Breakfast,TreeTop - Applesauce no sugar added,1 cup,50,12g,0g,0g,0mg,0mg,11g,2g
"January 12, 2019",Breakfast,"Seeds, sunflower seed kernels, dry roasted, with salt added",0.5 cup,372,15g,32g,12g,0mg,419mg,2g,6g
"January 12, 2019",Breakfast,Thompson Raisins - Raisin,0.5 c,200,50g,0g,2g,0mg,20mg,46g,4g
"January 12, 2019",Dinner,Frozen - Shrimp,3 oz,100,0g,2g,21g,170mg,468mg,0g,0g
"January 12, 2019",Dinner,Thompson Raisins - Raisin,0.75 c,300,75g,0g,3g,0mg,30mg,69g,6g
"January 12, 2019",Dinner,Organics roasted cashews - Cashews,2 oz,320,18g,26g,8g,0mg,190mg,2g,2g
"January 12, 2019",Dinner,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 12, 2019",Dinner,"Kale, raw, 2 cup",chopped,66,12g,1g,6g,0mg,51mg,3g,5g
"January 12, 2019",Dinner,Dole - Pineapple Slice,1 slices,30,8g,0g,1g,0mg,5mg,7g,1g
"January 12, 2019",Dinner,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 12, 2019",Dinner,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 12, 2019",Dinner,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 12, 2019",Dinner,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 12, 2019",Dinner,TreeTop - Applesauce no sugar added,1 cup,50,12g,0g,0g,0mg,0mg,11g,2g
"January 12, 2019",Dinner,"Seeds, sunflower seed kernels, dry roasted, with salt added",0.5 cup,372,15g,32g,12g,0mg,419mg,2g,6g
"January 12, 2019",Dinner,Thompson Raisins - Raisin,0.5 c,200,50g,0g,2g,0mg,20mg,46g,4g
"January 12, 2019",Snacks,Frozen - Shrimp,3 oz,100,0g,2g,21g,170mg,468mg,0g,0g
"January 12, 2019",Snacks,Thompson Raisins - Raisin,0.75 c,300,75g,0g,3g,0mg,30mg,69g,6g
"January 12, 2019",Snacks,Organics roasted cashews - Cashews,2 oz,320,18g,26g,8g,0mg,190mg,2g,2g
"January 12, 2019",Snacks,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 12, 2019",Snacks,"Kale, raw, 2 cup",chopped,66,12g,1g,6g,0mg,51mg,3g,5g
"January 12, 2019",Snacks,Dole - Pineapple Slice,1 slices,30,8g,0g,1g,0mg,5mg,7g,1g
"January 12, 2019",Snacks,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 12, 2019",Snacks,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 12, 2019",Snacks,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 12, 2019",Snacks,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 12, 2019",Snacks,TreeTop - Applesauce no sugar added,1 cup,50,12g,0g,0g,0mg,0mg,11g,2g
"January 12, 2019",Snacks,"Seeds, sunflower seed kernels, dry roasted, with salt added",0.5 cup,372,15g,32g,12g,0mg,419mg,2g,6g
"January 12, 2019",Snacks,Thompson Raisins - Raisin,0.5 c,200,50g,0g,2g,0mg,20mg,46g,4g
"January 13, 2019",Breakfast,thrive life - freeze dried kale,1 C,10,1g,0g,1g,0mg,7mg,0g,1g
"January 13, 2019",Breakfast,"Produce - Broccholi, Chopped, Boiled",0.5 cup (78g),27,6g,0g,2g,--mg,32mg,1g,3g
"January 13, 2019",Breakfast,Baked Cod - Baked Cod,4.8 oz,166,1g,5g,28g,59mg,552mg,0g,0g
"January 13, 2019",Breakfast,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 13, 2019",Breakfast,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 13, 2019",Breakfast,Generic - Bulk Almond Slices,0.13 c,85,3g,8g,3g,0mg,0mg,1g,2g
"January 13, 2019",Breakfast,Lettuce - Lettuce,2 cup shredded,10,2g,0g,1g,0mg,20mg,1g,1g
"January 13, 2019",Breakfast,Thrive - Chicken Salad,0.5 cup,110,4g,1g,19g,40mg,45mg,0g,1g
"January 13, 2019",Breakfast,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 13, 2019",Breakfast,Frozen - Shrimp,3 oz,100,0g,2g,21g,170mg,468mg,0g,0g
"January 13, 2019",Breakfast,TreeTop - Applesauce no sugar added,1 cup,50,12g,0g,0g,0mg,0mg,11g,2g
"January 13, 2019",Lunch,thrive life - freeze dried kale,1 C,10,1g,0g,1g,0mg,7mg,0g,1g
"January 13, 2019",Lunch,"Produce - Broccholi, Chopped, Boiled",0.5 cup (78g),27,6g,0g,2g,--mg,32mg,1g,3g
"January 13, 2019",Lunch,Baked Cod - Baked Cod,4.8 oz,166,1g,5g,28g,59mg,552mg,0g,0g
"January 13, 2019",Lunch,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 13, 2019",Lunch,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 13, 2019",Lunch,Generic - Bulk Almond Slices,0.13 c,85,3g,8g,3g,0mg,0mg,1g,2g
"January 13, 2019",Lunch,Lettuce - Lettuce,2 cup shredded,10,2g,0g,1g,0mg,20mg,1g,1g
"January 13, 2019",Lunch,Thrive - Chicken Salad,0.5 cup,110,4g,1g,19g,40mg,45mg,0g,1g
"January 13, 2019",Lunch,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 13, 2019",Lunch,Frozen - Shrimp,3 oz,100,0g,2g,21g,170mg,468mg,0g,0g
"January 13, 2019",Lunch,TreeTop - Applesauce no sugar added,1 cup,50,12g,0g,0g,0mg,0mg,11g,2g
"January 13, 2019",Dinner,thrive life - freeze dried kale,1 C,10,1g,0g,1g,0mg,7mg,0g,1g
"January 13, 2019",Dinner,"Produce - Broccholi, Chopped, Boiled",0.5 cup (78g),27,6g,0g,2g,--mg,32mg,1g,3g
"January 13, 2019",Dinner,Baked Cod - Baked Cod,4.8 oz,166,1g,5g,28g,59mg,552mg,0g,0g
"January 13, 2019",Dinner,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 13, 2019",Dinner,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 13, 2019",Dinner,Generic - Bulk Almond Slices,0.13 c,85,3g,8g,3g,0mg,0mg,1g,2g
"January 13, 2019",Dinner,Lettuce - Lettuce,2 cup shredded,10,2g,0g,1g,0mg,20mg,1g,1g
"January 13, 2019",Dinner,Thrive - Chicken Salad,0.5 cup,110,4g,1g,19g,40mg,45mg,0g,1g
"January 13, 2019",Dinner,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 13, 2019",Dinner,Frozen - Shrimp,3 oz,100,0g,2g,21g,170mg,468mg,0g,0g
"January 13, 2019",Dinner,TreeTop - Applesauce no sugar added,1 cup,50,12g,0g,0g,0mg,0mg,11g,2g
"January 14, 2019",Breakfast,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 14, 2019",Breakfast,Dole - Pineapple Slice,1 slices,30,8g,0g,1g,0mg,5mg,7g,1g
"January 14, 2019",Breakfast,"Kale, raw, 2 cup",chopped,66,12g,1g,6g,0mg,51mg,3g,5g
"January 14, 2019",Breakfast,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 14, 2019",Breakfast,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 14, 2019",Breakfast,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 14, 2019",Breakfast,Almond Thins - Crackers,16 crackers,130,5g,11g,6g,0mg,105mg,1g,3g
"January 14, 2019",Breakfast,Eggs - Hard Boiled - Large,1 egg,78,1g,5g,6g,212mg,62mg,1g,0g
"January 14, 2019",Breakfast,Best Foods - Olive Oil Mayo,2 tbsp,120,1g,12g,0g,10mg,240mg,0g,0g
"January 14, 2019",Breakfast,Thrive - Chicken Salad,0.5 cup,110,4g,1g,19g,40mg,45mg,0g,1g
"January 14, 2019",Breakfast,Lettuce - Lettuce,2 cup shredded,10,2g,0g,1g,0mg,20mg,1g,1g
"January 14, 2019",Breakfast,Generic - Bulk Almond Slices,0.13 c,85,3g,8g,3g,0mg,0mg,1g,2g
"January 14, 2019",Breakfast,TreeTop - Applesauce no sugar added,1 cup,50,12g,0g,0g,0mg,0mg,11g,2g
"January 14, 2019",Lunch,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 14, 2019",Lunch,Dole - Pineapple Slice,1 slices,30,8g,0g,1g,0mg,5mg,7g,1g
"January 14, 2019",Lunch,"Kale, raw, 2 cup",chopped,66,12g,1g,6g,0mg,51mg,3g,5g
"January 14, 2019",Lunch,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 14, 2019",Lunch,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 14, 2019",Lunch,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 14, 2019",Lunch,Almond Thins - Crackers,16 crackers,130,5g,11g,6g,0mg,105mg,1g,3g
"January 14, 2019",Lunch,Eggs - Hard Boiled - Large,1 egg,78,1g,5g,6g,212mg,62mg,1g,0g
"January 14, 2019",Lunch,Best Foods - Olive Oil Mayo,2 tbsp,120,1g,12g,0g,10mg,240mg,0g,0g
"January 14, 2019",Lunch,Thrive - Chicken Salad,0.5 cup,110,4g,1g,19g,40mg,45mg,0g,1g
"January 14, 2019",Lunch,Lettuce - Lettuce,2 cup shredded,10,2g,0g,1g,0mg,20mg,1g,1g
"January 14, 2019",Lunch,Generic - Bulk Almond Slices,0.13 c,85,3g,8g,3g,0mg,0mg,1g,2g
"January 14, 2019",Lunch,TreeTop - Applesauce no sugar added,1 cup,50,12g,0g,0g,0mg,0mg,11g,2g
"January 14, 2019",Dinner,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 14, 2019",Dinner,Dole - Pineapple Slice,1 slices,30,8g,0g,1g,0mg,5mg,7g,1g
